Views,Readers,Comments,Recommends,StartWriting,LastUpdate,Status,Size,SizeType,Author,FanficsTitle,FanficsType
146831,1493,166,0,12.12.2010,12.10.2014,Заморожен,714,Макси,Sagara23,Золотое Трио. Часть первая: Маги Кайроса.,джен
4839,195,9,0,12.10.2014,12.10.2014,Закончен,8,Мини,Liannon,"Дуэль, бегство и засада",слэш
53899,1037,92,8,03.03.2014,12.10.2014,Закончен,170,Миди,Jane_S,Будь что будет,гет
4508,57,5,0,22.06.2014,12.10.2014,Заморожен,20,Миди,Аркада,Его прощальный поклон,джен
31503,594,99,3,01.08.2012,11.10.2014,Закончен,135,Миди,Фатия,Дикий сад,гет
3408,83,4,0,11.10.2014,11.10.2014,Закончен,28,Мини,Liannon,Тень колючей проволоки,джен
58793,2077,196,0,28.04.2014,11.10.2014,Заморожен,136,Макси,ShadowOnis,Дикая Яблоня,джен
20615,241,22,1,05.10.2014,10.10.2014,Закончен,145,Миди,Liannon,Идол,слэш
19812,847,37,7,10.10.2014,10.10.2014,Закончен,31,Мини,Stivi,Не твоя,гет
12627,808,3,0,10.10.2014,10.10.2014,Закончен,23,Мини,Ирижия,Давай займемся спасением,слэш
4338,100,10,0,09.10.2014,09.10.2014,Закончен,11,Мини,Nagr,Бомбарда максима,джен
24119,782,90,2,13.06.2014,09.10.2014,Заморожен,138,Миди,Рыбка Астронотус,Дорогу осилит идущий,слэш
81512,1505,85,10,04.08.2014,09.10.2014,Закончен,245,Макси,Северное Сердце,На краю света,гет
60472,1250,232,6,09.08.2013,08.10.2014,Закончен,145,Миди,тать,Трудный день,слэш
56714,1756,99,10,16.07.2013,08.10.2014,Закончен,55,Миди,тать,Традиции,слэш
19137,426,34,3,22.09.2014,08.10.2014,Закончен,36,Мини,lvenok-linka,Не смотри на меня,слэш
10622,664,21,2,08.10.2014,08.10.2014,Закончен,10,Мини,Lary Arimura,Все было хорошо,слэш
6009,220,28,3,08.10.2014,08.10.2014,Закончен,6,Мини,Штуша,Темная лошадка,гет
2434,46,3,0,07.10.2014,07.10.2014,Закончен,6,Мини,Rubycon,Охота,джен
11281,136,15,3,05.09.2014,07.10.2014,Закончен,137,Миди,Dannelyan,Idus Martiae,джен
13444,105,1,0,07.10.2014,07.10.2014,Закончен,60,Миди,Антонин Долохов,Темная Леди,гет
4037,79,5,0,07.10.2014,07.10.2014,Закончен,11,Мини,Лорэлай,Пророчества,джен
3720,101,5,0,06.10.2014,06.10.2014,Закончен,23,Мини,Министры Магии,Вернись ко мне,слэш
308362,2787,1034,20,23.07.2012,06.10.2014,Закончен,1021,Макси,Lilu Dallas,Цыпочка,слэш
9787,385,15,0,06.10.2014,06.10.2014,Заморожен,26,Макси,Necrotica,Lily and the Art of Being Sisyphus,джен
13791,90,9,0,16.12.2013,06.10.2014,Заморожен,107,Макси,Вирсалиса,Как стать Пожирателем Смерти,гет
26690,315,14,0,08.09.2014,06.10.2014,Заморожен,143,Макси,МСИЭЭГ,Долгая дорога домой,джен
8815,531,84,1,06.10.2014,06.10.2014,Закончен,21,Мини,Smaragd,"День учителя, или Искренне ваш, Северус Снейп",слэш
2665,96,7,1,05.10.2014,05.10.2014,Закончен,16,Мини,Liannon,Пойманный,слэш
16108,397,51,0,13.11.2013,05.10.2014,Заморожен,127,Макси,RoxoLana,Соединённые молвой (Rumored In Love),гет
7835,359,28,2,05.10.2014,05.10.2014,Закончен,35,Мини,ols,Танго с молотка,гет
5553,38,10,0,21.09.2014,05.10.2014,Заморожен,22,Миди,Yana_mia,Из ненаписанного. Драбблы,гет
11507,590,19,0,05.10.2014,05.10.2014,Закончен,15,Мини,ArtChaos,Летный маневр,гет
11526,590,14,0,05.10.2014,05.10.2014,Закончен,29,Мини,lostProphet,Сигнальные огни / Safe Conduct,гет
18455,226,25,1,22.10.2013,05.10.2014,Закончен,80,Миди,Ночная Тень,Дело принципа,гет
3714,123,9,1,04.10.2014,04.10.2014,Закончен,8,Мини,Киска-Мурыська,Новая история «Красной Шапочки»,джен
3032,125,15,0,03.10.2014,03.10.2014,Закончен,29,Мини,Arrkat,Скала,слэш
5892,244,36,1,02.10.2014,02.10.2014,Закончен,7,Мини,HazelL,Как всё было на самом деле,джен
164760,3884,259,6,24.08.2014,02.10.2014,Закончен,155,Миди,James Moran,Сын Лили Поттер,джен
55792,347,158,4,11.04.2012,02.10.2014,Закончен,529,Макси,Pumposha,Околоквиддич,гет
21038,323,275,1,27.06.2012,02.10.2014,Заморожен,105,Миди,CaffeLatte,Большой спорт,слэш
12255,641,33,2,02.10.2014,02.10.2014,Закончен,8,Мини,SectumsepraX,Запах яблок,гет
